receipt_date,region,channel,brand,sum,sum_of_brand,total_amount,percent_of_brand_sales
2019-08-22,Новосибирская область,chain,marlboro,15386,6159519,18989072,0.32
2019-08-22,Новосибирская область,nonchain,marlboro,17197,6159519,18989072,0.32
2019-08-22,Санкт-Петербург,chain,marlboro,6349,6159519,18989072,0.32
2019-08-22,Санкт-Петербург,nonchain,marlboro,56238,6159519,18989072,0.32
2019-08-22,Свердловская область,chain,marlboro,3305,6159519,18989072,0.32
2019-08-22,Свердловская область,nonchain,marlboro,20533,6159519,18989072,0.32
2019-08-22,г. Москва,chain,marlboro,3688,6159519,18989072,0.32
2019-08-22,г. Москва,nonchain,marlboro,21702,6159519,18989072,0.32
2019-08-23,Ленинградская область,chain,marlboro,2204,6159519,18989072,0.32
2019-08-23,Ленинградская область,nonchain,marlboro,37355,6159519,18989072,0.32
2019-08-23,Московская область,chain,marlboro,2067,6159519,18989072,0.32
2019-08-23,Московская область,nonchain,marlboro,29634,6159519,18989072,0.32
2019-08-23,Новосибирская область,chain,marlboro,6423,6159519,18989072,0.32
2019-08-23,Новосибирская область,nonchain,marlboro,16444,6159519,18989072,0.32
2019-08-23,Санкт-Петербург,chain,marlboro,9483,6159519,18989072,0.32
2019-08-23,Санкт-Петербург,nonchain,marlboro,62883,6159519,18989072,0.32
2019-08-23,Свердловская область,chain,marlboro,5722,6159519,18989072,0.32
2019-08-23,Свердловская область,nonchain,marlboro,15922,6159519,18989072,0.32
2019-08-23,г. Москва,chain,marlboro,2878,6159519,18989072,0.32
2019-08-23,г. Москва,nonchain,marlboro,24850,6159519,18989072,0.32
2019-08-24,Ленинградская область,chain,marlboro,4176,6159519,18989072,0.32
2019-08-24,Ленинградская область,nonchain,marlboro,28104,6159519,18989072,0.32
2019-08-24,Московская область,chain,marlboro,2525,6159519,18989072,0.32
2019-08-24,Московская область,nonchain,marlboro,24180,6159519,18989072,0.32
2019-08-24,Новосибирская область,chain,marlboro,12085,6159519,18989072,0.32
2019-08-24,Новосибирская область,nonchain,marlboro,13314,6159519,18989072,0.32
2019-08-24,Санкт-Петербург,chain,marlboro,5244,6159519,18989072,0.32
2019-08-24,Санкт-Петербург,nonchain,marlboro,58483,6159519,18989072,0.32
2019-08-24,Свердловская область,chain,marlboro,4330,6159519,18989072,0.32
2019-08-24,Свердловская область,nonchain,marlboro,8943,6159519,18989072,0.32
2019-08-24,г. Москва,chain,marlboro,2040,6159519,18989072,0.32
2019-08-24,г. Москва,nonchain,marlboro,32038,6159519,18989072,0.32
2019-08-25,Ленинградская область,chain,marlboro,1745,6159519,18989072,0.32
2019-08-25,Ленинградская область,nonchain,marlboro,19823,6159519,18989072,0.32
2019-08-25,Московская область,chain,marlboro,3153,6159519,18989072,0.32
2019-08-25,Московская область,nonchain,marlboro,26304,6159519,18989072,0.32
2019-08-25,Новосибирская область,chain,marlboro,7307,6159519,18989072,0.32
2019-08-25,Новосибирская область,nonchain,marlboro,13463,6159519,18989072,0.32
2019-08-25,Санкт-Петербург,chain,marlboro,9169,6159519,18989072,0.32
2019-08-25,Санкт-Петербург,nonchain,marlboro,72199,6159519,18989072,0.32
2019-08-25,Свердловская область,chain,marlboro,1796,6159519,18989072,0.32
2019-08-25,Свердловская область,nonchain,marlboro,9618,6159519,18989072,0.32
2019-08-25,г. Москва,chain,marlboro,1595,6159519,18989072,0.32
2019-08-25,г. Москва,nonchain,marlboro,41469,6159519,18989072,0.32
2019-08-26,Ленинградская область,chain,marlboro,7143,6159519,18989072,0.32
2019-08-26,Ленинградская область,nonchain,marlboro,30123,6159519,18989072,0.32
2019-08-26,Московская область,chain,marlboro,1200,6159519,18989072,0.32
2019-08-26,Московская область,nonchain,marlboro,21614,6159519,18989072,0.32
2019-08-26,Новосибирская область,chain,marlboro,16903,6159519,18989072,0.32
2019-08-26,Новосибирская область,nonchain,marlboro,13488,6159519,18989072,0.32
2019-08-26,Санкт-Петербург,chain,marlboro,8676,6159519,18989072,0.32
2019-08-26,Санкт-Петербург,nonchain,marlboro,42769,6159519,18989072,0.32
2019-08-26,Свердловская область,chain,marlboro,3024,6159519,18989072,0.32
2019-08-26,Свердловская область,nonchain,marlboro,9379,6159519,18989072,0.32
2019-08-26,г. Москва,chain,marlboro,3912,6159519,18989072,0.32
2019-08-26,г. Москва,nonchain,marlboro,24341,6159519,18989072,0.32
2019-08-27,Ленинградская область,chain,marlboro,1666,6159519,18989072,0.32
2019-08-27,Ленинградская область,nonchain,marlboro,21159,6159519,18989072,0.32
2019-08-27,Московская область,chain,marlboro,1396,6159519,18989072,0.32
2019-08-27,Московская область,nonchain,marlboro,24831,6159519,18989072,0.32
2019-08-27,Новосибирская область,chain,marlboro,5188,6159519,18989072,0.32
2019-08-27,Новосибирская область,nonchain,marlboro,14468,6159519,18989072,0.32
2019-08-27,Санкт-Петербург,chain,marlboro,10829,6159519,18989072,0.32
2019-08-27,Санкт-Петербург,nonchain,marlboro,57345,6159519,18989072,0.32
2019-08-27,Свердловская область,chain,marlboro,1606,6159519,18989072,0.32
